category,name,type,source,effect
general,Frontline Leader,General,Twilight 2000,"Roll COMMAND when you spot enemy troops, vehicles, and weapons. If you succeed, the Referee should tell you their general stats."
general,Full Throttle,General,Alien RPG,"You like to go fast. Really fast. When piloting a spacecraft, atmospheric flyer or ground vehicle capable of high speeds you get a +1 modification to PILOT rolls for any Accelerate or Decelerate actions and when driving at or close to maximum speed."
general,Gearhead,General,Coriolis RPG,"With a successful TECHNOLOGY test, you can repair an item or jury-rig a one-use contraption for a specific task. The number of successes on your roll determines the Reliability of the item (max 3) but is dependent on available materials, time, etc. If doing a repair, the recovered Reliability will only last for a shift and then reverts back to it’s original rating (if not reduced by then)."
general,Ground Vehicle Specialist,General,Twilight 2000,Gives a +1 modifier to PILOT all ground vehicles.
general,Group Psychology,General,Alien RPG,"You understand what drives pack behavior and how people tend to function as a group. With a successful OBSERVATION roll you can predict the short-term attitude or behavior of a group of people. You get to ask the GM a question about the group, and they must offer you some insight (more detail with extra successes) into what they are going to do as a group."
general,Gunsmith,General,Alien RPG,"You gain a +1 to TECHNOLOGY when it comes to making, modifying or repairing guns and ammunition."
general,Hardened,General,Mercy of the Icons (EL),"Long years of danger and conflict have hardened you, giving you 1 additional Stress Point. This can be taken twice."
general,Hard Hitter,General,Mercy of the Icons (TLC),"You get a +2 modification to MELEE COMBAT if you spend a fast action to line up the attack. If the defender attempts to block, they receive a -1 to the roll."
general,Heavy Weapons Expert,General,Alien RPG,"The military uses a variety of heavy weapons, from plasma guns to tactical missiles and tank guns. You get a +1 modification to RANGED COMBAT when firing such weapons, and +1 when attempting to unjam or fix a heavy weapon. This affects man-portable heavy weapons up to vehicle mounted and artillery."
general,Historian,General,Twilight 2000,"Roll OBSERVATION when you arrive at a new location. If you succeed, the Referee can tell you something significant that has happened here in the past (if anything ever did)."
general,Hold Your Nerve,General,Alien RPG,Your resilience allows you to block out the bad things going on around you. Once per day you can use a specific item of sentimental value to make an EMPATHY roll. Any successes immediately reduce your stress by the number of successes rolled.
general,Hug the Dirt,General,Alien RPG,With this talent you’re able to maximize cover from incoming ranged attacks and return effective fire when you’re down on the ground. Attacks against you while prone are at -2 (instead of -1) and you get a +2 fire support bonus (instead of +1). All other rules for being prone apply as normal.
general,Influence,General,Alien RPG,"With rank, experience or talent comes certain privileges—being obeyed is one of them. You can push any skill roll based on EMPATHY twice, not just once. All other rules for rolling 1’s and stress apply, with this adding an automatic 1 point of stress."
general,Inquisitive,General,Alien RPG,"You are always seeking to expand the boundaries of your knowledge. When you push any skill roll based on WITS, you can choose to add +1 to the re-roll."
general,Intelligence Training,General,Twilight 2000,"Roll OBSERVATION when you spot an enemy force. If you succeed, the Referee must tell you something useful about their current organization and objectives."
general,Intense Focus,General,Alien RPG,"Your discipline and attention to detail gives you the ability to block out the outside world and focus on the task at hand. You gain a +1 modification to any task that takes at least a stretch (10 minutes) or longer complete, but if you are interrupted you automatically fail the task and must start again."
general,Investigator,General,Alien RPG,"You see what others miss, and are skilled at noticing small details and making sense of them. When you spend a Turn in a room or similar location, you can roll for OBSERVATION. Only one attempt is allowed (cannot push). For each success you roll, you may ask the GM one of the following questions. The GM must answer truthfully, but is allowed to give vague or incomplete information. What happened here? Is there anything hidden here, and if so, where? Are there any details here that are out of place, something that’s out of the ordinary?"
general,Judge of Character,General,Coriolis RPG,"You can tell if someone is lying or telling the truth without testing PERSUASION if your EMPATHY and MANIPIULATION are higher than the person you’re judging. It takes about a minute and you can’t tell any details, only whether the person is lying or not."
general,Killer,General,Twilight 2000,You can kill an incapacitated person outright without suffering any negative effect (Pg 73)
general,Licensed,General,Coriolis RPG,"You have the proper licenses to buy restricted gear and weapons). You can purchase the items if you can afford them, and if they are available at your location. Being licensed is not the same as being permitted to carry all kinds of weaponry in public, however. Local regulations can still stop you from carrying weapons you are allowed to own."
general,Like the Back of Your Hand,General,Alien RPG,"This vehicle is yours, and you know every bolt and cable, nook and cranny. Choose one vehicle or spacecraft (not one type, but a single, specific craft). You get a +1 modification to PILOT with the chosen vehicle. You can choose this talent several times, once for each vehicle (such as a spacecraft and a shuttle). If you happen to lose your specific vehicle, you can spend a week getting to know a new vehicle with this talent."
general,Linguist,,,"You know another language of your choice, well enough to be taken as native on a successful PERSUASION roll."
general,Load Carrier,General,Twilight 2000,You can carry two additional encumbrance units in your combat gear and two more in your backpack.
general,Martial Artist,General,Alien Evolved RPG,Your Melee combat unarmed attacks have their CRIT rating reduced by 1. You can also make an unarmed attack as a FAST action but at a -2.
general,Melee Specialist,General,Twilight 2000,"Gives you a +1 modifier to MELEE COMBAT rolls for all hand-to-hand combat weapons, such as knives, bayonets, and clubs."
general,Menacing,General,Alien RPG,"You have a scary physical presence that makes it easy to intimidate people. You can roll for PERSUASION using STRENGTH instead of EMPATHY when you threaten someone to make them do what you want. If you succeed, your opponent cannot demand anything in return from you. They can still choose to attack you instead of giving in."
general,Merciless,General,Alien RPG,"You can perform a coup de grace without rolling for EMPATHY. Also, you recover 1 stress from killing an enemy but cannot happen more than once per day."
general,Navigator,General,Alien RPG,"When setting course of travel in a spaceship, roll DATA DJINN. For each success rolled, the duration of the trip is reduced by 10% (round off to the nearest whole number of days up or down)."
general,Nerves of Steel,General,Alien RPG,"You keep a cool head in all situations. When you drop to zero Stress Points, you recover 1 Stress Point. This cannot occur more than once per session."
general,Nine Lives,General,Coriolis RPG,"No matter how bad it looks, you always seem to come out of situations alive. When you suffer a critical injury, you may roll two dice and choose the lower result."
general,Nurse,General,Alien Evolved RPG,"When you tend to a character recovering from a critical injury, each day counts double for each shift spent per day. You can tend to a number of patients equal to your MEDICAL AID skill level (D-1, C-2, B-3, A-4)"
general,Past the Limit,General,Alien RPG,"When the going gets tough, the tough get going, and you’re the toughest badass around. You can re-roll a single 1 on any non-combat skill roll based on STRENGTH. This re-roll can be on the initial roll or the re-roll but must be declared you’re using this feat."
general,Pinpoint,General,Twilight 2000,"Gives a +1 modifier to MOBILITY rolls for thrown weapons, including knives and grenades. If you push the roll, you can ignore a single 1 that is rolled."
general,Point Blank,General,Coriolis RPG,"The penalty for shooting in melee combat (page 63 in the Player’s Manual) is reduced one step, i.e. no penalty for pistols, carbines and SMGs, and -1 for other ranged weapons."
general,Precise Shooter,General,Alien Evolved RPG,"When rolling ammo dice and counting up total bullets used, you can ignore one ammo die if rolling two or more ammo dice on the roll."
general,Quick Draw,General,Alien RPG,"You can draw a weapon that is rifle sized or smaller so quickly it doesn’t cost you an action. If your weapon is already drawn when combat starts, you gain a +1 to your first shot(s) fired if you shoot in the first round."
general,Quick Healer,General,Alien RPG,You are very resilient and recover quickly from injuries. The healing time of critical injuries is halved for you.
general,Ranger,General,Twilight 2000,"Gives a +1 modifier when using SURVIVAL rolls for navigation, foraging and hunting in wild environments."
general,Rapid Reload,General,Alien RPG,"You can reload a weapon as a fast action if your Ranged Combat roll fails. If you succeed, this counts as a free action."
general,Reaction Shot,General,Alien Evolved RPG,"If an enemy makes a ranged attack against you, you are in close range, are aware of the enemy and have an action available you may as a quick action (reaction) try to shoot them first. Take +1 Stress, then roll for both attacks simultaneously. The shot with the most successes goes off first. If both shots hit, the second shot is aborted if the shooter is broken. If both shots roll the same amount of successes, both hit at the same time."
general,Reckless,General,Alien RPG,"You live for the rush of adrenaline through your veins, pushing harder than others dare. When you push any skill roll based on AGILITY you can choose to add +1 to the re-roll."
general,Relentless,General,Alien RPG,"At the cost of 1 Stress, you can gain one additional fast action. This can only be used once per combat."
general,Remote,General,Alien RPG,"You are qualified to set up, control and repair remote sentry guns and other remotely- controlled battlefield devices, and to pilot remote vehicles. Receive +1 to rolls to carry out these tasks. The correct equipment is needed in all cases."
general,Resilient,General,Alien Evolved RPG,"Roll for STRENGTH (attribute only) any time you suffer physical damage. You can’t push the roll, which does not count as an action. For every success you roll, one point of damage is eliminated at the cost of 1 Stress instead. If broken by Stress, additional damage is taken normally."
general,Rifle Specialist,General,Twilight 2000,Gives a +1 modifier to RANGED COMBAT rolls for firing assault rifles and carbines. Also gives a +1 modifier to RANGED COMBAT rolls made to reload these firearms (page 65).
general,Robust,General,Mercy of the Icons (TLC),You may ignore one critical injury effect at the cost of 1 HP (on top of any damage taken). You must activate this talent before the critical injury roll. Once used you must sleep at least one shift to be able to use the talent again.
general,Rugged,General,Coriolis RPG/T2k (Ranger),"You are used to extreme weather and other hardships (cold, storms, strong gravity, fire, etc). Gives you a +1 modifier to STAMINA rolls made for marching, resisting hypothermia, and other hardships."
general,Second Wind,General,Alien RPG,"When you are reduced to zero HP, you can get back on your feet immediately, without anyone giving you first aid. Roll for STAMINA. For every success you roll, you recover 1 Hit Capacity and can keep fighting a little while longer. Once used, you must sleep at least one shift to be able to use the talent again. This talent has no effect if you suffered a critical injury as a part of being reduced to zero HP. This talent does not stack with the Adrenal Pump cyberware."
general,Seductive,General,Coriolis RPG,"You have an eye for romance, and get a +1 to PERSUASION in situations when you try to achieve something through seduction, flirting or otherwise using your personal charisma to get someone to do what you want."
general,Soothing,General,Coriolis RPG,"You read others as if they were open books, and possess a natural quality that makes people open up to you. You get a +1 to MEDICAL AID when treating someone who has been broken by stress. They also gain a +1 when using MEDICAL AID to counsel someone affected by a mental trauma."
general,Sniper,General,Twilight 2000,Gives a +1 modifier to RANGED COMBAT rolls for firing marksman rifles. Also gives a +1 modifier to RANGED COMBAT rolls made to reload these firearms (page 65).
general,Spaceship Commander,General,Alien RPG,"In the role as a captain of a spaceship during space combat, you can draw two initiative cards using the Initiative phase of space combat. Choose the one you want to use. You also gain a +1 to you COMMAND roll during the COMMAND phase."
general,Spaceship Gunner,General,Alien RPG,"As a gunner on a spaceship during combat, you get a +1 modification to your HEAVY WEAPONS rolls for any ship-based weapon attacks."
general,Spaceship Mechanic,General,Alien RPG,"You get a +1 modification when you use TECHNOLOGY or DATA DJINN to modify, upgrade or repair damage to a spacecraft."
general,Sprinter,General,Coriolis RPG,Gives a +1 bonus to MOBILITY rolls for running both in combat and out of combat.
general,Stealthy,General,Alien RPG,You get a +2 modification to INFILTRATION when using the skill to move undetected. This talent is only used if you are alone or everyone in the group has the talent.
general,Stoic,General,Alien RPG,You can roll for FORCE or STAMINA using WITS instead of STRENGTH.
general,Surgeon,General,Twilight 2000,Gives a +2 modifier to MEDICAL AID rolls for treating critical injuries if the injured person is treated in a medical facility with the right tools.
general,Survivor,General,Alien Evolved RPG,You get +2 dice to all death rolls.
general,Take Control,General,Alien RPG,"You know how to make people do what you want, and you don't feel bad about doing it. You can roll for PERSUASION using WITS instead of EMPATHY Gives a +1 bonus to COMMAND rolls for helping someone who is incapacitated by stress (page 77). Does not affect unit morale."
general,Talk Their Language,General,Coriolis RPG,"A born orator and public speaker, you can talk to a crowd and make every person think you are talking just to them, and them alone. Rather than suffering a negative modifier to your COMMAND or PERSUASION rolls when out-numbered, you gain a +1 modification instead."
general,The Hassassin’s Thrust,General,Coriolis RPG,"You are a highly trained assassin. When you make a sneak attack using a small weapon, you get +1 to MELEE COMBAT and reduce the CRIT threshold of the weapon by 1. Only affects weapons that weigh 1/2 or less (such as knives)"
general,Third Eye,General,Coriolis RPG,"You have the ability to sense an ambush, and once per session you can avoid the effects of being surprised. The talent also gives you a constant +1 to OBSERVATION when trying to detect a sneak attack or an ambush."
general,Tough,General,Coriolis RPG,You are used to taking a beating. You get 1 additional Hit Capacity. This can be taken twice
general,True Grit,General,Alien RPG,"Life on the Frontier is a constant struggle. Luckily, you have what it takes to overcome anything that comes your way. When you re-roll any skill roll based on STRENGTH, you can add +1 to the re-roll."
general,Wealthy Family,General,Coriolis RPG,You can use the rumors of your family’s vast riches to give yourself a +1 to PERSUASION in any situation where the GM deems it relevant. Whether the rumors are true or not doesn’t matter. You can only choose this talent if you come from a Privileged background (page 21).
general,Weapon Specialist,General,Alien Evolved RPG,"You’re an expert at using a specific weapon model – choose one from the weapon lists. When you use this weapon, you get +2 dice. You can choose this talent several times, once per weapon model (including unarmed). This talent stacks with other broad weapon talents like Close Combat Specialist, Rifle Specialist and Sniper."
general,Well Connected,General,Mercy of the Icons (TLC),"When visiting new locations, you always find lucrative contacts willing to help you out. The talent may be used once per visit to a station or a city. Your new contact can supply you with business opportunities or protection, or introduce you to local rulers — your choice"
general,Zero-G Training,General,Coriolis RPG,Your sense of balance is well adapted to an environment without gravity or you have been specially trained to work in zero-g. You do not suffer the effects of Zero Gravity.
free_traders,A Nose for Birr,Group,Coriolis RPG,"When trading, you get a +2 to PERSUASION. One use per session for the whole group (not once per PC)."
free_traders,Everything is for Sale,Group,Coriolis RPG,"You have a knack for finding the most corrupt public servants, toll officers or guards, and always get a +2 to PERSUASION when you are bribing someone."
free_traders,Quickest Route,Group,Coriolis RPG,"You find the quickest route. Travel takes half the amount of time (page 138), or one encounter along the way may be ignored."
mercenaries,Assault,Group,Coriolis RPG,"You get a +1 to RANGED COMBAT, but only when everyone in the group attacks the same target in the same turn."
mercenaries,Charge,Group,Coriolis RPG,"You get a +2 to MOBILITY but only when everyone in the group, in the same turn, also spends at least one fast action on movement. The bonus lasts one turn only. Can be used once per session."
mercenaries,Situational Awareness,Group,Coriolis RPG,"You always know your surroundings, and get a +2 to OBSERVATION when testing it to discover an ambush."
mercenaries,Strategic Movement,Group,Mercy of the Icons (EL),"Your group is trained for anything. If one member of your team succeeds on a COMMAND roll (once per turn), they may allow a member of the squad to get 1 additional Fast Action to spend on finding cover or performing a movement action. The extra fast action can be used when the soldier is up to act in the turn order or as a reaction immediately after the COMMAND role succeeding."
agents,A Friend in Every Port,Group,Coriolis RPG,"You can find a useful contact in a new place. The contact can protect you, lend you gear, or vouch for you with the local rulers. This can be used once per story arc."
agents,Assassin’s Guild,Group,Coriolis RPG,You can test INFILTRATION instead of MELEE COMBAT when you make a MELEE COMBAT attack against an enemy who isn’t aware of you.
agents,Dancers of Ahlam,Group,Coriolis RPG,You can test MOBILITY instead of PERSUASION when trying to make a good impression.
explorers,Seasoned Travelers,Group,Coriolis RPG,You can test PERSUASION instead of CULTURE to understand a group’s customs.
explorers,Survivors,Group,Coriolis RPG,"You can get out of a dangerous situation somehow connected to nature, such as a brushfire or explosive decompression. The whole group escapes the danger. One use per session for the whole group (not once per PC)."
explorers,Truth Seekers,Group,Coriolis RPG,You can find important information or get a clue from the GM without rolling dice. The information must be important enough to enable you to overcome a minor obstacle or a challenge in the scenario. One use per session for the whole group (not once per PC).
pilgrims,Last Laugh,Group,Coriolis RPG,You can get yourselves out of a pinch using your knack for entertainment. The GM gets 1 DP per use. One use per session for the whole group (not once per PC).
pilgrims,Mercy of the Icons,Group,Coriolis RPG,"When you are in a tight spot, the Icons will hear you. This means that you can cancel the effects of Darkness Points that have just been spent by the GM (Chapter 3). One use per session for the whole group (not once per PC)."
pilgrims,One Last Birr,Group,Coriolis RPG,"You can make a living out of your craft or performances. Test MOBILITY instead of PERSUASION to find basic subsistence (food, drink, repairs – no new gear) when in a new place."
icon,The Lady of Tears Talent,Icon,Coriolis RPG,"You can get back up after having been broken by damage or stress, and are immediately restored to 1 HP remaining at the cost of 1 Stress. Alternatively, you can ignore the effects of a non-fatal Critical Injury for 1 stretch at the cost of 1 Stress."
icon,The Dancer’s Talent,Icon,Coriolis RPG,"You can evade an incoming attack, taking no damage. You can choose to activate the talent after a successful attack roll against you, but before the GM has revealed the effect. This causes 1 Stress per use."
icon,The Gambler’s Talent,Icon,Coriolis RPG,"You are incredibly lucky and can choose an automatic success on a non-combat skill test of your choice before rolling. It counts as if you had rolled a single success. If it is an advanced skill, you still need a level of at least 1 in that skill to activate the talent. This causes 1 Stress per use."
icon,The Merchant’s Talent,Icon,Coriolis RPG,"You can find a favorable loan enabling you to purchase an expensive object or a ship module. The loan must then be paid back within the agreed upon timeframe. This causes Stress equal to the amount of the loan, determined by the GM. Failure to pay back the loan causes a permanent point of stress until the loan is repaid."
icon,The Deckhand’s Talent,Icon,Coriolis RPG,"If your ship drops to zero Hull Points or Energy Points, you can restore D6 points of either kind instantly. This requires no action from you – it is the Icons intervening on your behalf. This causes 1 point of Stress."
icon,The Traveler’s Talent,Icon,Coriolis RPG,"You can ask the GM about a choice you have to make in the game. It has to be a choice with only two options. The GM must then answer truthfully which of the two is most beneficial to you, if that is at all possible to estimate. This causes 1 point of Stress."
icon,The Messenger’s Talent,Icon,Coriolis RPG,"You can make someone obey you, through careful words and actions, without having to test PERSUASION, but guarantees only a single success. Can be used on both NPCs and PCs. Your wish must be reasonable, you cannot, for example, force an NPC to act completely against their own interests. This causes 1 point of Stress."
icon,The Judge’s Talent,Icon,Coriolis RPG,"You deal an automatic critical injury when your attack hits, as long as the target suffered at least 1 point of damage after armor and cover. Any other effects from the attack are resolved as usual. This causes 1 point of Stress."
icon,The Faceless One’s Talent,Icon,Coriolis RPG,"Fate is on your side, giving you the benefit of getting to change a single, concrete detail in a scene more to your favor. It must be something that has a cosmetic or indirectly helpful effect – you cannot make an enemy disappear, but you can decide that there is a knife within reach, or that a window has been left open. The GM has final say on what is possible to accomplish with the talent. This causes 1 point of Stress."
cyber_bio,Accelerated Reflexes,Cyberware (Body),Coriolis RPG,"Your nerves are cybernetically modified with extra wiring and micro djinn, giving you superb body control. You get a +1 to MOBILITY for acrobatic maneuvers, and you get to roll your initiative with two cards and pick the best one to determine your initiative score. If you also have the Combat Veteran talent, you get three cards and choose the best one.
Cost: 7,000 birr."
cyber_bio,Active Sensors,Cyberware (Accessory),Coriolis RPG,"Active sensors are implanted in your body. You can use them like the active mode on a personal sensor whenever you wish. Details for sensors are found in Equipment
Cost: 3,000 birr."
cyber_bio,Adaptive Cybernetic Eye,Cyberware (Accessory),Mercy of the Icons (EL),"You gain a +1 to TECHNOLOGY when making fine repairs, and a +1 to RANGED COMBAT and OBSERVATION (Fast action to activate) for the next turn. $10,000 birr."
cyber_bio,Adrenal Pump,Cyberware (Accessory),Mercy of the Icons (TLC),"A chemical injector pumps adrenaline and hormones into your bloodstream to regulate mood and reaction time. If Broken by either stress or damage, you may use one fast action in the following turn to roll STAMINA. Each success rolled restores 1 point of the Broken stat. Takes at least 24 hours to refresh once activated. You also gets a +1 to FORCE and MANIPULATE to resist torture or interrogation. 20,000 birr"
cyber_bio,Beautiful,Bioware (Body),Coriolis RPG,"Your beauty is breathtaking. Whether by classical standards or tasteful originality, you turn heads wherever you go. Your biosculpted looks give you a +1 to PERSUASION whenever they can affect the situation. People with the appropriate sexual orientation tend to fall in love with you. If you are in a place with different ideals of beauty, the GM may decide to ignore your modifier.
Cost: 25,000 birr."
cyber_bio,Body Armor,Cyberware (Body),Coriolis RPG,"You are cybernetically armored, giving you an extra Armor Rating of 1 to one hit location. The implant’s rating is added to any other armor you may wear as well. The implants give you a -1 penalty to MOBILITY for acrobatic maneuvers.
Cost: 6,000 birr."
cyber_bio,Built-in Weapon (CYB),Cyberware (Body),Coriolis RPG,"You have a built-in weapon. The weapon is hard to detect and can only be discovered by someone actively searching for it. The weapon itself must be bought separately. To “draw” a built-in weapon is a fast action.
Cost: 3,000 birr."
cyber_bio,Built-in Weapon (BIO),Bioware (Body),Coriolis RPG,"You have a built-in weapon that counts as a primitive melee weapon (for example claws, a shorter blade or throwing knives). The weapon is very discreet and only a thorough medical check-up can discover it. “Drawing” this built-in weapon is a free action.
Cost: 40,000 birr."
cyber_bio,Com Link,Cyberware (Accessory),Coriolis RPG,"You have a built-in communications device, similar to a personal communicator. The benefit of the link is that it is very hard to detect – you can verbalize your message in your mind, and the receiver is jacked directly into your auditory system.
Cost: 1,500 birr."
cyber_bio,Cybernetic Muscles,Cyberware (Body),Coriolis RPG,"Muscles enhanced with ceramic fibers make you an extremely fast and strong runner. Your Movement Rate is increased by 1 hex to move in a round but only once per round (can be combined with Sprinter but not with Quick Reflexes). The critical rating of your unarmed attacks is decreased by 1.
Cost: 7,000 birr."
cyber_bio,Endo Skeleton,Cyberware (Body),Coriolis RPG,"An endo skeleton with powerful hydraulics and strong alloys supports your body, making you considerably stronger than others – you get a +1 to FORCE for heavy lifting. Your combat carrying capacity is increased by 2.
Cost: 7,000 birr."
cyber_bio,Intelligent,Bioware (Accessory),Coriolis RPG,"Your brain’s bio code and cognitive pathways have been altered to make you cold and logical. You get a +1 to all SCIENCE and TECHNOLOGY tests, but a -1 to PERSUASION.
Cost: 25,000 birr."
cyber_bio,Kinetic Absorption,Bioware/Cyberware (Body),Wake of the Icons (TLC),"The muscles or your skin have been enhanced with alloys or micro djinn that regenerate within seconds if damaged by trauma, explosions, fire or acid. This gives you an ablative armor that automatically reduces the first wound you receive each combat by 1. It takes about an hour for the process to cycle through and become active again. The cybernetics version of this talent requires extremely straining surgery, tripling the normal recovery time.
Cost: 30,000 birr (BIO),12,000 birr (CYB)."
cyber_bio,Language Modulator,Cyberware (Accessory),Coriolis RPG,"Your larynx and vocal chords have been replaced with a sound modulator and an interpreter unit. You can automatically translate your speech to another language if you speak slowly. The modulator supports up to five different language packs. See Language Unit for more details.
Cost: 12,000 birr."
cyber_bio,Lie Detector,Cyberware (Accessory),Coriolis RPG,"You have a built-in lie detector. To use it on someone, you must touch the person, speak to them, and look them in the eyes. Test PERSUASION with a +1 (not an opposed roll). If you pass, you can tell if the person is lying or not.
Cost: 4,000 birr."
cyber_bio,Morph,Bioware (Body),Coriolis RPG,"Your body is sculpted so that your entire physiognomy is changed – you could have anything from wings to extra limbs. This gives you obvious benefits, but could trigger fear and disgust among common people, or even hate among fanatics.
EXTRA PAIR OF ARMS: You can perform an extra fast action per turn, as long as you can use the extra arms for that action.
EXTRA FINGERS: You can use tools, make repairs, operate computers or do other tasks that require fine motor skills with extraordinary ease. You get a +1 in situations where fine motor skills are paramount, such as advanced MEDICAL AID, repairing precision engineering with TECHNOLOGY, or reprogramming a computer using DATA DJINN. Unfortunately, your brittle and sensitive fingers give you a -2 to FORCE.
WINGS: You can glide up to Long Range if you leap from at least 20 meters up. Test MOBILITY to land without taking damage (failure means D6 points of damage). When on the ground, you suffer a -1 to MOBILITY, due to the size of the wings.
PREHENSILE TAIL: You get a +2 to MOBILITY when climbing or moving around in low or zero-G. The tail is easily hidden under a coat or a caftan.
Cost: between 30,000 and 60,000 birr."
cyber_bio,Nimble,Bioware (Body),Coriolis RPG,"Your bionically enhanced nerves give you amazing agility. You get a +1 to MOBILITY for acrobatic feats and gymnastic maneuvers. The modifier also applies to dance and other physical activities.
Cost: 15,000 birr."
cyber_bio,Passive Sensor,Cyberware (Accessory),Coriolis RPG,"Passive sensors are implanted in your body. You can use them like the passive mode on a personal sensor whenever you wish. Details for sensors are found in Equipment.
Cost: 2,000 birr"
cyber_bio,Quick Reflexes,Bioware (Body),Coriolis RPG,"Your muscles are bionically altered for incredibly explosive speed, making you a fast runner. Your Movement Rate is increased by 1 hex for a fast action per round (can be combined with Sprinter but not with Cybernetic Muscles). You can jump 5 meters horizontally from standing still, 15 meters with a running start (slow action), and 2 meters vertically.
Cost: 10,000 birr."
