category,name,sub,weight,price,rel,range,effect,notes
medical,Surgical Equipment,Ordinary,1,200,,,Applies +1 to treat fatal Critical Injuries only,
medical,Trauma Kit,Advanced,1,2000,,,(+3) Advanced medkit. Contains 10 Trauma doses. Need doses to use,
medical,Trauma Dose,Advanced,¼,200,,,Advanced M-dose. Single use and gives +2 on its own,
medical,Trauma Lab,Advanced,–,20000,,,(+3/+4) +3 treating injuries and +4 treating critical injuries. 100 treatments and one treatment can be taken as a trauma dose,
tools,Cutting Torch,Ordinary,2,800,,,Cell powered (replaced after use). Can cut through hull in a couple minutes the size of an exo,
tools,"Spare Parts, Primitive",Primitive,½,50,,,One repair of Primitive technology. -2 TECHNOLOGY without tools,
tools,"Spare Parts, Ordinary",Ordinary,½,200,,,One repair of Ordinary technology. Requires Ordinary tools,
tools,"Spare Parts, Advanced",Advanced,½,1000,,,One Repair of Advanced technology. Requires Advanced tools,
tools,Thermal Cutter,Advanced,2,3000,,,Cutting torch with thermal lance. Can cut through hull in a minute the size of an exo. Requires 3 cells and replaced after use,
tools,"Tools, Primitive",Primitive,2,100,,,Can make primitive repairs.,
tools,"Tools, Ordinary",Ordinary,1,500,,,Required to make Ordinary repairs with Ordinary spare parts,
tools,"Tools, Advanced",Advanced,1,1500,,,Required to make Advanced repairs with Advanced spare parts. Gives +1 TECHNOLOGY for repairing items below Advanced tech,
tools,Vacuum Sealer,Ordinary,½,500,,,Injector that seals small holes in a hull or exo,
tools,"Workshop, Primitive",Primitive,–,400,,,Gives +1 TECHNOLOGY crafting or repairing Primitive tech. Contains 10 parts. 100 birr to resupply,
tools,"Workshop, Ordinary",Ordinary,–,2000,,,Gives +1 TECHNOLOGY crafting or repairing Ordinary or Primitive tech. Contains 10 parts. 500 birr to resupply,
tools,"Workshop, Advanced",Advanced,–,15000,,,"Gives +1 to TECHNOLOGY rolls crafting or repairing any tech. Contains 10 parts. 2,000 birr to resupply",
survival,Artificial Gills,Advanced,½,2500,,,Worn around neck with a mask that filters oxygen from water,
survival,Ballistic Cartograph,Advanced,Tiny,4000,,,"Small computer with vulcan missiles uses to 3d map an area of ground or in the air to provide a map. 5 uses, 2,000 birr to refill",
survival,Binoculars,Primitive,½,100,,,Allows viewing at long distances. +2 OBSERVATION,
survival,Box Tent,Advanced,1,2000,,,Tent for 2 people with solar panels to keep insides comfortable,
survival,Chem Extinguisher,Ordinary,1,300,,,Extinguishes one fire in a single turn. One use per extinguisher,
survival,Compass,Primitive,Tiny,100,,,+1 SURVIVAL when orienting with magnetic poles. Includes altimeter,
survival,Diving Gear,Ordinary,2,1000,,,Mask connected to a diving tube and backpack. 2 hours of oxygen,
survival,Emergency Flare,Primitive,½,50,,,"Colorful flares that fire into the sky, lasting for one turn",
survival,Environment Scanner,Ordinary,½,400,,,"Scans for biological, chemical or radiation threats. +2 SURVIVAL for locating these threats",
survival,Filter Mask,Ordinary,½,300,,,Simple mask that filters out toxins. Lasts 1 to 3 days,
survival,Hyper Rope,Ordinary,¼,200,,,Thin 50m long tough rope. +1 MOBILITY when climbing,
survival,Moisture Condenser,Ordinary,¼,2000,,,"Collect moisture from surroundings. Enough for 2 people per day normally, 5 if humid and 1 if arid. Requires cells once per week",
survival,Nutrition Pills,Advanced,Tiny,250,,,3 pills taken in a day to fulfill nutrition needs. Requires 1/2 liter water,
survival,Nutrition Recycler,Advanced,3,3000,,,Takes biomass and recycles into food. Powered by a ship reactor or fusion battery. Makes enough for 6 people,
survival,Portable Laboratory,Ordinary,2,2000,,,"Allows bio, rad, chem and spectral analysis. +2 SCIENCE when using",
survival,Pressure Tent,Ordinary,2,1200,,,Supports 4 people for one day in oxygen free environments,
survival,Spider Suit,Advanced,½,4000,,,Allows user to stick to most surfaces. +2 MOBILITY,
survival,Survival Mask,Ordinary,¼,500,,,Filtered mask providing oxygen in low-oxygen environments for a day or 1 hour in oxygen free environments,
survival,Survival Rations,Ordinary,¼,100,,,Enough food for one person per day,
survival,Thermostatic Suit,Ordinary,1,1100,,,Seals user in a suit to protect from environment and recycles water. Supplies one ration of water per day and +1 SURVIVAL for resisting elements or other hazards.,
survival,Water Purifier,Ordinary,½,1000,,,"Purifies water from chemicals, biological and radioactive elements. Makes enough water for 1 person per day and cell lasts a week",
exos_vehicles,Armored Gravcraft,Ordinary,–,40000,,,Armored version of gravcraft. Can reach up to 20 meters high,
exos_vehicles,Crawler,Ordinary,–,6000,,,Wheeled or tracked vehicle designed for use in harsh conditions. Can be sealed and connected to the ground to weather storms,
exos_vehicles,Drone,Ordinary,–,4000,,,Drone controlled by tabula or computer. Has mechanical arms and many varieties exist,
exos_vehicles,Exo Shell,Ordinary,–,2000,,,"Protects from vacuum and others effects. 8 hours of oxygen, vacuum soles that stick to hulls, 2 Armor Rating and -2 MOBILITY",
exos_vehicles,Grav Bike,Ordinary,–,3000,,,Single person unit with high speeds and reach up to 50 meters high,
exos_vehicles,Gravcraft,Ordinary,–,15000,,,Grav powered (1 meter hover) vehicle can reach up to 10 meters high,
exos_vehicles,Gravity Belt,Advanced,2,4500,,,Backpack and harness putting user in 1 G. Fusion battery last 1 hour,
exos_vehicles,Ground Loader,Ordinary,–,10000,,,Grav platform used for heavy cargo. Controlled via a panel onboard,
exos_vehicles,Hand Jet,Ordinary,2,700,,,Handheld jet for zero-G movement. +1 MOBILITY in zero-G,
exos_vehicles,Jet Pack,Ordinary,3,1600,,,(+1/+2) Backpack allowing +2 MOBILITY in zero-G and +1 MOBILITY in gravity. Must be refueled after one hour of use,
exos_vehicles,Loader Exo,Ordinary,–,3000,,,Can lift up to 500 kg without issue. Gives +2 FORCE,
exos_vehicles,Remote Control Module,Ordinary,Tiny,2000,,,Control a vehicle at Extreme Range using tabula and DATA DJINN,
exos_vehicles,Track Loader,Ordinary,–,4000,,,30-50m long open flat track with a single driver,
exos_vehicles,Water Jet,Ordinary,3,1100,,,Backpack propulsion using water. +1 MOBILITY under water. Powered by cell that lasts 2 hours per use,
recon,Chameleon Suit,Advanced,½,3000,,,Allows blending in to surroundings. +2 INFILTRATION when in use,
recon,Fiberscope,Advanced,Tiny,3000,,,5 meter long cable connected to tabula. Used for scouting,
recon,Lie Detector,Advanced,¼,1800,,,Connected to person gives +2 PERSUASION for telling truth,
recon,Mechanical Lockpick,Primitive,¼,50,,,(0/-1) Allows picking of mechanical locks. Without these -1 TECHNOLOGY,
recon,Modulation Mask,Advanced,½,5000,,,Project modulated image on face. -2 OBSERVATION to be spotted,
recon,Proximity Sensor,Ordinary,1,1200,,,"Provides info about terrain, vehicles and people in the area. Active: Extreme range and TECHNOLOGY test to discover hidden things. +2 to discover this device with sensor tech. Passive: Long Range only but no additional detection chance",
recon,Recon Probe,Ordinary,1,2000,,,Remote controlled to Extreme Range. Uses controllers +2 to OBSERVATION,
recon,Security Tablet,Ordinary,½,700,,,(0/-2) Codebreaker and electronic pock pick. Without this -2 to TECHNOLOGY for these purposes,
