category,name,type,ammo,rel,rof,damage,crit,blast,range,mag,armor,weight,price,slots,notes
heavy,Accelerator Machine Gun,Machine gun,ACC,5,4,3,4,–,8/32,100,0,3,,2,
heavy,Thermal Machine Gun,Machine gun,CELL,5,5,3,3,–,6/24,75,0,5,,2,"Fire 3, Fusion Battery"
launchers,Undermount Launcher,Grenade launcher,40mm,5,1,3,3,D,4/16,1,0,½,,,Weight added to rifle as one unit
systems,Missile System,Weapon system,,5,1,,,–,20/80,1,0,2,,,Anti-vehicle
systems,Missile System Armor-Piercing,Weapon system,ACC,,,8,2,C,,,–1,1,,,Armor-piercing
systems,Missile System Blast,Weapon system,Gren.,,,Gren.,Gren.,Gren.,,,Gren.,Gren.,,,
systems,Thermal Projector,Weapon system,CELL,5,,4,1,–,2/8,,0,,,,"Thermal sweep, Fire 5, Bulky"
systems,Firestorm System,Weapon system,CELL,5,,5,1,–,6/24,,0,,,,"Anti-vehicle, Slow, Fire 6, Blast Power 5"
melee,Knife,Melee,,5,,2,3,–,,,+1,¼,50,,Light · Tech P
melee,Sword,Melee,,5,,3,4,–,,,+1,½,200,,Tech P
melee,Dura Knife,Melee,,5,,2,3,–,,,0,¼,500,,"Light, Cell-powered · Tech O"
melee,Dura Sword,Melee,,5,,3,4,–,,,0,1,1000,,"Heavy, Cell-powered · Tech O"
melee,Mercurium Knife,Melee,,5,,2,3,–,,,–1,½,1500,,"Light, Mercurium, Cell-powered · Tech A"
melee,Mercurium Sword,Melee,,5,,3,4,–,,,–1,1,3000,,"Heavy, Mercurium, Cell-powered · Tech A"
melee,Axe,Melee,,5,,3,3,–,,,+1,1,150,,Heavy · Tech P
melee,Dura Axe,Melee,,5,,3,3,–,,,–1,2,2000,,"Heavy, Cell-powered · Tech O"
melee,Halberd,Melee,,5,,3,3,–,,,0,2,300,,"Heavy, Long · Tech P"
melee,Dura Halberd,Melee,,5,,3,3,–,,,–1,2,2500,,"Heavy, Long, Cell-powered · Tech O"
melee,Rifle Butt,Melee,,5,,2,4,–,,,+2,As rifle,,,
melee,Baton,Melee,,5,,2,4,–,,,+2,1,100,,Tech P
melee,"Baton, Expandable",Melee,,5,,2,4,–,,,+2,½,200,,Light · Tech P
melee,Staff,Melee,,5,,2,4,–,,,+2,1,50,,Tech P
melee,"Staff, Expandable",Melee,,5,,2,4,–,,,+2,½,250,,Tech P
melee,Mace,Melee,,5,,2,4,–,,,+1,1,100,,Heavy · Tech P
melee,Power Sledge,Melee,,5,,3,4,–,,,+1,2,1000,,"Heavy, Cell-powered · Tech O"
melee,Power Glove,Melee,,5,,2,4,–,,,+1,½,1500,,"Light, Cell-powered · Tech O"
melee,Shock Stick,Melee,,5,,1,Stun,–,,,+1,1,500,,"Stun, Cell-powered · Tech O"
melee,Shock Whip,Melee,,5,,1,Stun,–,,,+1,½,800,,"Light, Flexible, Stun, Cell-powered · Tech O"
melee,Energy Staff,Melee,,5,,2,4,–,,,+1,2,1000,,"Stun, Heavy, Cell-powered · Tech A"
melee,Energy Stick,Melee,,5,,2,4,–,,,+1,1,1200,,"Stun, Cell-powered · Tech A"
melee,Energy Whip,Melee,,5,,2,4,–,,,+1,½,1800,,"Light, Flexible, Stun, Cell-powered · Tech A"
melee,Hand Fan,Melee,,5,,2,3,–,,,+1,½,2500,,"Light, Cell-powered · Tech A"
melee,Unarmed,Melee,,,,1,4,–,,,+3,–,,,Tech P
melee,Brass Knuckles,Melee,,5,,1,3,–,,,+3,¼,50,,Light · Tech P
melee,Claws,Melee,,5,,1,2,–,,,+2,–,,,Tech P
melee,Dura Claws,Melee,,5,,1,2,–,,,+1,–,600,,Light · Tech O
melee,Spear,Melee,,5,,2,3,–,,,+1,1,200,,Long · Tech P
melee,Whip,Melee,,5,,1,3,–,,,+1,½,50,,Flexible · Tech P
grenades,Concussion,Grenade,,,,1,2,C,3/12,,0,¼,,,Light
grenades,Frag,Grenade,,,,2,3,C,3/12,,+1,¼,,,Light
grenades,Inferno,Grenade,,,,2,2,B,3/12,,0,¼,,,Light
grenades,Sensor smoke,Grenade,,,,,,C,3/12,,0,¼,,,"Light, Blocks vision and sensors"
grenades,Smoke,Grenade,,,,,,C,3/12,,0,¼,,,"Light, Blocks vision"
grenades,Stun,Grenade,,,,Stun,3,C,3/12,,0,¼,,,"Light, Stun"
grenades,Thermal,Grenade,,,,1,2,C,3/12,,Neg,¼,,,"Light, Fire B"
grenades,Thermobaric,Grenade,,,,1,2,B,3/12,,Neg,¼,,,"Light, Fire C"
grenades,Electroshock,Grenade,,,,Stun,,D,3/12,,0,¼,,,"Stun (-2), affects electronics"
explosives,Breach Charge Small,Explosive,,,,1,1,C,,,0,1,,,Destroys thin walls or normal vehicles
explosives,Breach Charge Medium,Explosive,,,,1,1,B,,,0,2,,,Destroys thick walls or heavy vehicles
explosives,Breach Charge Heavy,Explosive,,,,1,1,A,,,0,10,,,Destroys entire house/small building or bridges
explosives,Breach Charge Massive,Explosive,,,,1,1,AA,,,0,50,,,Destroys roads or entire blocks
explosives,M40 HEDP Grenade,Explosive,,,,Blast B,1,–,Weapon,,0,,,,Med range when used as hand grenade
explosives,Starshell Flares,Explosive,,,,2,2,–,Weapon,,0,,,,
explosives,Baton Rounds,Explosive,,,,3,2,–,Weapon,,0,,,,
explosives,M108 Buckshot Canisters,Explosive,,,,3,1,–,Weapon,,0,,,,
explosives,U4 QTC Firebomb Ammunition,Explosive,,,,Fire A,2,–,Weapon,,0,,,,
explosives,M20 Claymore Mine,Explosive,,,,Blast B,1,–,Short,,0,,,,Triggered at SHORT range. OBSERVATION to spot.
explosives,M111 Anti-Vehicle Mine,Explosive,,,,Blast A,1,–,Close,,0,,,,Triggered at CLOSE range. Initial target damage +2 and AP
other,Harpoon Grappling Gun,Other,SPEC.,5,,1,3,–,2/8,1,+2,1,,,"Armor doubles, Single Shot"
other,Starshell Flare Pistol,Other,SPEC.,5,,1,3,–,3/12,1,N/A,½,,,"Light, Illuminates one zone, Single Shot"
other,EVA Mining Laser,Other,CELL,5,1,3,1,–,1/4,20,0,2,,,"Armor piercing, Heavy, Cell-powered"
other,Heavy Incinerator,Other,SPEC.,5,2,Fire C,2,–,1/4,50,0,2,,,"Heavy, Uses 3 ammo per roll and per ammo die, requires a special reload (1 weight)"
other,Rock,Other,,5,,1,3,–,1/4,,+2,½,,,Light
other,Blowpipe,Other,,5,,1,4,–,1/4,,+2,½,,,"Light, Single-shot"
other,Throwing Knife,Other,,5,,1,2,–,1/4,,+1,¼,,,Light
other,Throwing Spear,Other,,5,,2,3,–,2/8,,+1,1,,,
other,Throwing Axe,Other,,5,,2,3,–,1/4,,+1,1,,,
other,Spear-thrower,Other,,5,,2,3,–,2/8,,+1,1,,,Single-shot
other,Harpoon,Other,,5,,2,3,–,2/8,,+1,1,,,"Heavy, Single-shot"
other,Improvised Bow,Other,,3,,1,3,–,2/8,,+1,1,,,Single-shot
other,Hunting bow,Other,,5,,1,2,–,4/16,,+1,1,,,Single-shot
other,Crossbow,Other,,5,,2,3,–,4/16,,0,1,,,Single-shot
other,Combat Bow,Other,,5,,2/Gren.,3/Gren.,–,4/16,,0,1,,,Single-shot
